Time,NodeID,Alleles,VectorPopulation
733,1,Y,0
734,1,X,101258
734,1,Y,0
735,1,X,101312
735,1,Y,0
736,1,X,101521
736,1,Y,0
737,1,X,101501
737,1,Y,0
738,1,X,101479
738,1,Y,0
739,1,X,101419
739,1,Y,0
740,1,X,101569
740,1,Y,0
741,1,X,101688
741,1,Y,0
742,1,X,101831
742,1,Y,0
743,1,X,101403
743,1,Y,0
744,1,X,101389
744,1,Y,0
745,1,X,101389
745,1,Y,0
746,1,X,101171
746,1,Y,0
747,1,X,100857
747,1,Y,0
748,1,X,101186
748,1,Y,0
749,1,X,101256
749,1,Y,0
750,1,X,100916
750,1,Y,0
751,1,X,100909
751,1,Y,0
752,1,X,101027
752,1,Y,0
753,1,X,101185
753,1,Y,0
754,1,X,101223
754,1,Y,0
755,1,X,100944
755,1,Y,0
756,1,X,101095
756,1,Y,0
757,1,X,101089
757,1,Y,0
758,1,X,101098
758,1,Y,0
759,1,X,101110
759,1,Y,0
760,1,X,101106
760,1,Y,0
761,1,X,101281
761,1,Y,0
762,1,X,101107
762,1,Y,0
763,1,X,101299
763,1,Y,0
764,1,X,101183
764,1,Y,0
765,1,X,101071
765,1,Y,0
766,1,X,100778
766,1,Y,0
767,1,X,100856
767,1,Y,0
768,1,X,101013
768,1,Y,0
769,1,X,100936
769,1,Y,0
770,1,X,100895
770,1,Y,0
