Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
60,340461476,X-a1:X-a1,2847,0,0,2847,2042,22350,66650,0,0,0,0,0
60,340461476,X-a1:X-a2,2842,0,0,2842,2010,22505,65200,0,0,0,0,0
60,340461476,X-a2:X-a1,2882,0,0,2882,2052,22430,67600,0,0,0,0,0
60,340461476,X-a2:X-a2,2988,0,0,2988,2073,23024,68350,0,0,0,0,0
61,340461476,X-a1:X-a1,2958,0,0,2958,1999,22461,61700,0,0,0,0,0
61,340461476,X-a1:X-a2,2854,0,0,2854,1988,22533,64900,0,0,0,0,0
61,340461476,X-a2:X-a1,2902,0,0,2902,2043,22646,68250,0,0,0,0,0
61,340461476,X-a2:X-a2,2918,0,0,2918,2143,23118,66550,0,0,0,0,0
62,340461476,X-a1:X-a1,2934,0,0,2934,1967,22394,71900,0,0,0,0,0
62,340461476,X-a1:X-a2,2807,0,0,2807,2019,22529,72700,0,0,0,0,0
62,340461476,X-a2:X-a1,2975,0,0,2975,1992,22968,66300,0,0,0,0,0
62,340461476,X-a2:X-a2,2960,0,0,2960,2203,23034,69600,0,0,0,0,0
63,340461476,X-a1:X-a1,2905,0,0,2905,1999,22495,63850,0,0,0,0,0
63,340461476,X-a1:X-a2,2796,0,0,2796,2121,22572,66600,0,0,0,0,0
63,340461476,X-a2:X-a1,2996,0,0,2996,1975,22942,66500,0,0,0,0,0
63,340461476,X-a2:X-a2,3019,0,0,3019,2160,23227,67850,0,0,0,0,0
64,340461476,X-a1:X-a1,2986,0,0,2986,1952,22450,63825,0,0,0,0,0
64,340461476,X-a1:X-a2,2841,0,0,2841,2098,22731,67425,0,0,0,0,0
64,340461476,X-a2:X-a1,3008,0,0,3008,1999,23054,71325,0,0,0,0,0
64,340461476,X-a2:X-a2,3030,0,0,3030,2239,23213,70025,0,0,0,0,0
65,340461476,X-a1:X-a1,2981,0,0,2981,1963,22416,74875,0,0,0,0,0
65,340461476,X-a1:X-a2,2881,0,0,2881,2068,22785,76125,0,0,0,0,0
65,340461476,X-a2:X-a1,2969,0,0,2969,2142,23220,65075,0,0,0,0,0
65,340461476,X-a2:X-a2,3059,0,0,3059,2240,23294,69025,0,0,0,0,0
66,340461476,X-a1:X-a1,2951,0,0,2951,2099,22630,65875,0,0,0,0,0
66,340461476,X-a1:X-a2,2894,0,0,2894,2126,23027,67575,0,0,0,0,0
66,340461476,X-a2:X-a1,2979,0,0,2979,2094,22934,71125,0,0,0,0,0
66,340461476,X-a2:X-a2,3155,0,0,3155,2135,23158,71125,0,0,0,0,0
67,340461476,X-a1:X-a1,2961,0,0,2961,2152,22622,66550,0,0,0,0,0
67,340461476,X-a1:X-a2,2962,0,0,2962,2136,22988,67400,0,0,0,0,0
67,340461476,X-a2:X-a1,2987,0,0,2987,2074,23117,72300,0,0,0,0,0
67,340461476,X-a2:X-a2,3094,0,0,3094,2222,23195,71350,0,0,0,0,0
68,340461476,X-a1:X-a1,2948,0,0,2948,2157,22663,75975,0,0,0,0,0
68,340461476,X-a1:X-a2,2984,0,0,2984,2138,23011,75875,0,0,0,0,0
68,340461476,X-a2:X-a1,2958,0,0,2958,2150,23305,68575,0,0,0,0,0
68,340461476,X-a2:X-a2,3176,0,0,3176,2224,23070,69275,0,0,0,0,0
69,340461476,X-a1:X-a1,2992,0,0,2992,2134,22883,65650,0,0,0,0,0
69,340461476,X-a1:X-a2,2955,0,0,2955,2177,23341,67550,0,0,0,0,0
69,340461476,X-a2:X-a1,3038,0,0,3038,2122,23247,70700,0,0,0,0,0
69,340461476,X-a2:X-a2,3181,0,0,3181,2192,22883,72100,0,0,0,0,0
70,340461476,X-a1:X-a1,3043,0,0,3043,2058,22891,64975,0,0,0,0,0
70,340461476,X-a1:X-a2,3012,0,0,3012,2128,23328,68675,0,0,0,0,0
70,340461476,X-a2:X-a1,3045,0,0,3045,2141,23251,71875,0,0,0,0,0
70,340461476,X-a2:X-a2,3152,0,0,3152,2187,23119,76275,0,0,0,0,0
71,340461476,X-a1:X-a1,3052,0,0,3052,2006,22804,73375,0,0,0,0,0
71,340461476,X-a1:X-a2,3042,0,0,3042,2156,23357,76525,0,0,0,0,0
71,340461476,X-a2:X-a1,3065,0,0,3065,2159,23331,70025,0,0,0,0,0
71,340461476,X-a2:X-a2,3238,0,0,3238,2185,23213,72575,0,0,0,0,0
72,340461476,X-a1:X-a1,3029,0,0,3029,2076,22735,67075,0,0,0,0,0
72,340461476,X-a1:X-a2,3054,0,0,3054,2170,23557,69025,0,0,0,0,0
72,340461476,X-a2:X-a1,3072,0,0,3072,2161,23144,71275,0,0,0,0,0
72,340461476,X-a2:X-a2,3252,0,0,3252,2142,23230,73825,0,0,0,0,0
73,340461476,X-a1:X-a1,2987,0,0,2987,2076,22747,66825,0,0,0,0,0
73,340461476,X-a1:X-a2,3079,0,0,3079,2147,23420,73225,0,0,0,0,0
73,340461476,X-a2:X-a1,3094,0,0,3094,2126,23279,73175,0,0,0,0,0
