Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
76,1,a1.b1,0,0,0
77,1,X,96663,14360,6.63245
77,1,Y,0,0,0
77,1,a0,96663,14360,6.63245
77,1,a1,0,0,0
77,1,b0,96663,14360,6.63245
77,1,b1,0,0,0
77,1,a0.b0,96663,14360,6.63245
77,1,a1.b1,0,0,0
78,1,X,96361,14504,6.66533
78,1,Y,0,0,0
78,1,a0,96361,14504,6.66533
78,1,a1,0,0,0
78,1,b0,96361,14504,6.66533
78,1,b1,0,0,0
78,1,a0.b0,96361,14504,6.66533
78,1,a1.b1,0,0,0
79,1,X,95842,14583,6.86402
79,1,Y,0,0,0
79,1,a0,95842,14583,6.86402
79,1,a1,0,0,0
79,1,b0,95842,14583,6.86402
79,1,b1,0,0,0
79,1,a0.b0,95842,14583,6.86402
79,1,a1.b1,0,0,0
80,1,X,95660,14188,6.73252
80,1,Y,0,0,0
80,1,a0,95660,14188,6.73252
80,1,a1,0,0,0
80,1,b0,95660,14188,6.73252
80,1,b1,0,0,0
80,1,a0.b0,95660,14188,6.73252
80,1,a1.b1,0,0,0
81,1,X,95728,14172,6.67563
81,1,Y,0,0,0
81,1,a0,95728,14172,6.67563
81,1,a1,0,0,0
81,1,b0,95728,14172,6.67563
81,1,b1,0,0,0
81,1,a0.b0,95728,14172,6.67563
81,1,a1.b1,0,0,0
82,1,X,95644,14487,6.85187
82,1,Y,0,0,0
82,1,a0,95644,14487,6.85187
82,1,a1,0,0,0
82,1,b0,95644,14487,6.85187
82,1,b1,0,0,0
82,1,a0.b0,95644,14487,6.85187
82,1,a1.b1,0,0,0
83,1,X,95570,14308,6.64258
83,1,Y,0,0,0
83,1,a0,95570,14308,6.64258
83,1,a1,0,0,0
83,1,b0,95570,14308,6.64258
83,1,b1,0,0,0
83,1,a0.b0,95570,14308,6.64258
83,1,a1.b1,0,0,0
84,1,X,99278,14152,6.74244
84,1,Y,0,0,0
84,1,a0,99278,14152,6.74244
84,1,a1,0,0,0
84,1,b0,99278,14152,6.74244
84,1,b1,0,0,0
84,1,a0.b0,99278,14152,6.74244
84,1,a1.b1,0,0,0
85,1,X,97992,14974,6.48037
85,1,Y,0,0,0
85,1,a0,97992,14974,6.48037
85,1,a1,0,0,0
85,1,b0,97992,14974,6.48037
85,1,b1,0,0,0
85,1,a0.b0,97992,14974,6.48037
85,1,a1.b1,0,0,0
86,1,X,98200,14389,6.65613
86,1,Y,0,0,0
86,1,a0,98200,14389,6.65613
86,1,a1,0,0,0
86,1,b0,98200,14389,6.65613
86,1,b1,0,0,0
86,1,a0.b0,98200,14389,6.65613
86,1,a1.b1,0,0,0
87,1,X,98057,14668,6.61569
87,1,Y,0,0,0
87,1,a0,98057,14668,6.61569
87,1,a1,0,0,0
87,1,b0,98057,14668,6.61569
87,1,b1,0,0,0
87,1,a0.b0,98057,14668,6.61569
87,1,a1.b1,0,0,0
88,1,X,97685,14793,6.68715
88,1,Y,0,0,0
88,1,a0,97685,14793,6.68715
88,1,a1,0,0,0
88,1,b0,97685,14793,6.68715
88,1,b1,0,0,0
88,1,a0.b0,97685,14793,6.68715
88,1,a1.b1,0,0,0
89,1,X,97807,14284,6.71605
89,1,Y,0,0,0
89,1,a0,97807,14284,6.71605
89,1,a1,0,0,0
89,1,b0,97807,14284,6.71605
89,1,b1,0,0,0
89,1,a0.b0,97807,14284,6.71605
89,1,a1.b1,0,0,0
90,1,X,97859,14469,6.65063
90,1,Y,0,0,0
90,1,a0,97859,14469,6.65063
90,1,a1,0,0,0
90,1,b0,97859,14469,6.65063
90,1,b1,0,0,0
90,1,a0.b0,97859,14469,6.65063
90,1,a1.b1,0,0,0
91,1,X,97822,14580,6.70075
91,1,Y,0,0,0
91,1,a0,97822,14580,6.70075
91,1,a1,0,0,0
91,1,b0,97822,14580,6.70075
91,1,b1,0,0,0
91,1,a0.b0,97822,14580,6.70075
91,1,a1.b1,0,0,0
92,1,X,97342,14907,6.70625
92,1,Y,0,0,0
92,1,a0,97342,14907,6.70625
92,1,a1,0,0,0
92,1,b0,97342,14907,6.70625
92,1,b1,0,0,0
92,1,a0.b0,97342,14907,6.70625
92,1,a1.b1,0,0,0
93,1,X,97116,14676,6.67253
93,1,Y,0,0,0
93,1,a0,97116,14676,6.67253
93,1,a1,0,0,0
93,1,b0,97116,14676,6.67253
93,1,b1,0,0,0
93,1,a0.b0,97116,14676,6.67253
93,1,a1.b1,0,0,0
94,1,X,97257,14335,6.764
94,1,Y,0,0,0
94,1,a0,97257,14335,6.764
94,1,a1,0,0,0
94,1,b0,97257,14335,6.764
94,1,b1,0,0,0
94,1,a0.b0,97257,14335,6.764
94,1,a1.b1,0,0,0
95,1,X,97253,14516,6.62242
95,1,Y,0,0,0
95,1,a0,97253,14516,6.62242
95,1,a1,0,0,0
95,1,b0,97253,14516,6.62242
95,1,b1,0,0,0
95,1,a0.b0,97253,14516,6.62242
95,1,a1.b1,0,0,0
96,1,X,97456,14561,6.73937
96,1,Y,0,0,0
96,1,a0,97456,14561,6.73937
96,1,a1,0,0,0
96,1,b0,97456,14561,6.73937
96,1,b1,0,0,0
96,1,a0.b0,97456,14561,6.73937
96,1,a1.b1,0,0,0
97,1,X,97450,14555,6.73281
97,1,Y,0,0,0
97,1,a0,97450,14555,6.73281
97,1,a1,0,0,0
97,1,b0,97450,14555,6.73281
97,1,b1,0,0,0
97,1,a0.b0,97450,14555,6.73281
97,1,a1.b1,0,0,0
98,1,X,97270,14595,6.69846
98,1,Y,0,0,0
98,1,a0,97270,14595,6.69846
98,1,a1,0,0,0
98,1,b0,97270,14595,6.69846
98,1,b1,0,0,0
98,1,a0.b0,97270,14595,6.69846
98,1,a1.b1,0,0,0
99,1,X,97157,14653,6.65236
99,1,Y,0,0,0
99,1,a0,97157,14653,6.65236
99,1,a1,0,0,0
99,1,b0,97157,14653,6.65236
99,1,b1,0,0,0
99,1,a0.b0,97157,14653,6.65236
99,1,a1.b1,0,0,0
100,1,X,96926,14750,6.69898
100,1,Y,0,0,0
100,1,a0,96926,14750,6.69898
100,1,a1,0,0,0
100,1,b0,96926,14750,6.69898
100,1,b1,0,0,0
100,1,a0.b0,96926,14750,6.69898
100,1,a1.b1,0,0,0
101,1,X,96741,14699,6.72631
101,1,Y,0,0,0
101,1,a0,96741,14699,6.72631
101,1,a1,0,0,0
101,1,b0,96741,14699,6.72631
101,1,b1,0,0,0
101,1,a0.b0,96741,14699,6.72631
101,1,a1.b1,0,0,0
102,1,X,97322,14596,6.68759
102,1,Y,0,0,0
102,1,a0,97322,14596,6.68759
102,1,a1,0,0,0
102,1,b0,97322,14596,6.68759
102,1,b1,0,0,0
102,1,a0.b0,97322,14596,6.68759
102,1,a1.b1,0,0,0
103,1,X,96842,14722,6.58525
103,1,Y,0,0,0
103,1,a0,96842,14722,6.58525
103,1,a1,0,0,0
103,1,b0,96842,14722,6.58525
103,1,b1,0,0,0
103,1,a0.b0,96842,14722,6.58525
103,1,a1.b1,0,0,0
104,1,X,97224,14339,6.652
104,1,Y,0,0,0
104,1,a0,97224,14339,6.652
104,1,a1,0,0,0
104,1,b0,97224,14339,6.652
104,1,b1,0,0,0
104,1,a0.b0,97224,14339,6.652
104,1,a1.b1,0,0,0
105,1,X,97123,14743,6.55403
105,1,Y,0,0,0
105,1,a0,97123,14743,6.55403
105,1,a1,0,0,0
105,1,b0,97123,14743,6.55403
105,1,b1,0,0,0
105,1,a0.b0,97123,14743,6.55403
105,1,a1.b1,0,0,0
106,1,X,97085,14455,6.66441
106,1,Y,0,0,0
106,1,a0,97085,14455,6.66441
106,1,a1,0,0,0
106,1,b0,97085,14455,6.66441
106,1,b1,0,0,0
106,1,a0.b0,97085,14455,6.66441
106,1,a1.b1,0,0,0
