Time,NodeID,Genome,STATE_MALE
188,1,X-a1:Y-a1,71
189,1,X-a0:Y-a0,115577
189,1,X-a0:Y-a1,1056
189,1,X-a1:Y-a0,5035
189,1,X-a1:Y-a1,98
190,1,X-a0:Y-a0,115878
190,1,X-a0:Y-a1,1118
190,1,X-a1:Y-a0,4664
190,1,X-a1:Y-a1,94
191,1,X-a0:Y-a0,116541
191,1,X-a0:Y-a1,1175
191,1,X-a1:Y-a0,4295
191,1,X-a1:Y-a1,86
192,1,X-a0:Y-a0,115471
192,1,X-a0:Y-a1,1236
192,1,X-a1:Y-a0,5198
192,1,X-a1:Y-a1,97
193,1,X-a0:Y-a0,115690
193,1,X-a0:Y-a1,1285
193,1,X-a1:Y-a0,4784
193,1,X-a1:Y-a1,89
194,1,X-a0:Y-a0,115914
194,1,X-a0:Y-a1,1312
194,1,X-a1:Y-a0,4374
194,1,X-a1:Y-a1,81
195,1,X-a0:Y-a0,115253
195,1,X-a0:Y-a1,1349
195,1,X-a1:Y-a0,4982
195,1,X-a1:Y-a1,89
196,1,X-a0:Y-a0,115562
196,1,X-a0:Y-a1,1379
196,1,X-a1:Y-a0,4587
196,1,X-a1:Y-a1,78
197,1,X-a0:Y-a0,115902
197,1,X-a0:Y-a1,1400
197,1,X-a1:Y-a0,4194
197,1,X-a1:Y-a1,66
198,1,X-a0:Y-a0,115308
198,1,X-a0:Y-a1,1466
198,1,X-a1:Y-a0,4631
198,1,X-a1:Y-a1,66
199,1,X-a0:Y-a0,116042
199,1,X-a0:Y-a1,1460
199,1,X-a1:Y-a0,4223
199,1,X-a1:Y-a1,64
