Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_C*,NumVectorsWithSporozoites_G*,NumVectorsWithSporozoites_Other
87,340461476,X-a2:X-a2,1840,0,0,1840,1211,31396,42100,0,0,0,0,0
88,340461476,X-a1:X-a1,1629,0,0,1629,1097,27956,41175,0,0,0,0,0
88,340461476,X-a1:X-a2,3591,0,0,3591,2347,60234,89950,0,0,0,0,0
88,340461476,X-a2:X-a2,1821,0,0,1821,1239,31338,46475,0,0,0,0,0
89,340461476,X-a1:X-a1,1654,0,0,1654,1109,27903,37900,0,0,0,0,0
89,340461476,X-a1:X-a2,3578,0,0,3578,2387,60345,78850,0,0,0,0,0
89,340461476,X-a2:X-a2,1821,0,0,1821,1245,31382,42450,0,0,0,0,0
90,340461476,X-a1:X-a1,1628,0,0,1628,1106,28085,36800,0,0,0,0,0
90,340461476,X-a1:X-a2,3584,0,0,3584,2418,60291,79950,0,0,0,0,0
90,340461476,X-a2:X-a2,1792,0,0,1792,1292,31459,43550,0,0,0,0,0
91,340461476,X-a1:X-a1,1657,0,0,1657,1110,28165,40650,0,0,0,0,0
91,340461476,X-a1:X-a2,3637,0,0,3637,2428,60425,88350,0,0,0,0,0
91,340461476,X-a2:X-a2,1826,0,0,1826,1255,31683,44800,0,0,0,0,0
92,340461476,X-a1:X-a1,1665,0,0,1665,1097,28205,40425,0,0,0,0,0
92,340461476,X-a1:X-a2,3636,0,0,3636,2462,60547,82600,0,0,0,0,0
92,340461476,X-a2:X-a2,1838,0,0,1838,1235,31643,42675,0,0,0,0,0
93,340461476,X-a1:X-a1,1674,0,0,1674,1102,28408,37425,0,0,0,0,0
93,340461476,X-a1:X-a2,3641,0,0,3641,2418,60438,81350,0,0,0,0,0
93,340461476,X-a2:X-a2,1817,0,0,1817,1289,31495,43925,0,0,0,0,0
94,340461476,X-a1:X-a1,1644,0,0,1644,1102,28434,41325,0,0,0,0,0
94,340461476,X-a1:X-a2,3647,0,0,3647,2367,60481,86550,0,0,0,0,0
94,340461476,X-a2:X-a2,1815,0,0,1815,1292,31588,43425,0,0,0,0,0
95,340461476,X-a1:X-a1,1651,0,0,1651,1090,28587,41925,0,0,0,0,0
95,340461476,X-a1:X-a2,3685,0,0,3685,2416,60397,85950,0,0,0,0,0
95,340461476,X-a2:X-a2,1817,0,0,1817,1250,31538,44025,0,0,0,0,0
96,340461476,X-a1:X-a1,1646,0,0,1646,1130,28635,38950,0,0,0,0,0
96,340461476,X-a1:X-a2,3673,0,0,3673,2475,60350,83300,0,0,0,0,0
96,340461476,X-a2:X-a2,1812,0,0,1812,1259,31542,44050,0,0,0,0,0
97,340461476,X-a1:X-a1,1639,0,0,1639,1137,28806,41550,0,0,0,0,0
97,340461476,X-a1:X-a2,3692,0,0,3692,2427,60519,86950,0,0,0,0,0
97,340461476,X-a2:X-a2,1855,0,0,1855,1217,31761,42500,0,0,0,0,0
98,340461476,X-a1:X-a1,1653,0,0,1653,1174,28825,40175,0,0,0,0,0
98,340461476,X-a1:X-a2,3673,0,0,3673,2463,60370,84300,0,0,0,0,0
98,340461476,X-a2:X-a2,1852,0,0,1852,1190,31545,45325,0,0,0,0,0
