Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
21,4,1001,563,0,0,563,1098,0,139721,41200,20600,198,0,0,0,0,0,70,15,0,17251.2,0.375513,0,0,0,563,0,0,0,198,0,0,0,0,0,0,0,0,0,0
22,1,999,444,0,0,444,999,0,143582,31200,15600,149,0,0,0,0,0,44,21,0,17656.5,0.521077,0,0,0,444,0,0,0,149,0,0,0,0,0,0,0,0,0,0
22,2,1000,451,0,0,451,1030,0,143649,31800,15900,149,0,0,0,0,0,53,13,0,17589.5,0.503977,0,0,0,451,0,0,0,149,0,0,0,0,0,0,0,0,0,0
22,3,1000,474,0,0,474,1069,0,143720,31000,15500,150,0,0,0,0,0,41,11,0,17518.5,0.497177,0,0,0,474,0,0,0,150,0,0,0,0,0,0,0,0,0,0
22,4,1001,491,0,0,491,988,0,143966,31600,15800,149,0,0,0,0,0,59,13,0,17272.5,0.418719,0,0,0,491,0,0,0,149,0,0,0,0,0,0,0,0,0,0
23,1,1000,378,0,0,378,913,2186,145413,29800,14900,145,0,0,0,0,0,50,15,0,19938,0.565912,0,0,0,378,0,0,0,145,0,0,0,0,0,0,0,0,0,0
23,2,1000,394,0,0,394,921,2151,145384,30000,15000,142,0,0,0,0,0,45,14,0,19967,0.553127,0,0,0,394,0,0,0,142,0,0,0,0,0,0,0,0,0,0
23,3,1001,412,0,0,412,964,2147,145474,34600,17300,164,0,0,0,0,0,41,20,0,19877,0.565111,0,0,0,412,0,0,0,164,0,0,0,0,0,0,0,0,0,0
23,4,999,426,0,0,426,874,2138,145387,32600,16300,158,0,0,0,0,0,49,16,0,19964,0.546597,0,0,0,426,0,0,0,158,0,0,0,0,0,0,0,0,0,0
24,1,1000,331,0,0,331,845,3091,150401,22000,11000,105,0,0,0,0,0,39,8,0,18914.3,0.669059,0,0,0,331,0,0,0,105,0,0,0,0,0,0,0,0,0,0
24,2,1000,331,0,0,331,830,2970,150468,22400,11200,108,0,0,0,0,0,48,15,0,18847.3,0.665566,0,0,0,331,0,0,0,108,0,0,0,0,0,0,0,0,0,0
