Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_IP='Accessibility',B_IP='Accessibility',A_HasIntervention='GoodCircumcision',B_HasIntervention='GoodCircumcision',A_HasIntervention='BadCircumcision',B_HasIntervention='BadCircumcision',A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
38,1960.6,1,3883,280,0,F,4844,12544,MALE,FEMALE,26.9005,18.1844,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3886,177,1,F,5405,10007,MALE,FEMALE,16.5053,21.6606,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3889,35,1,F,5957,17135,MALE,FEMALE,27.8449,25.0733,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3891,212,0,F,6077,4940,MALE,FEMALE,22.1868,22.6274,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3894,290,1,F,6528,10566,MALE,FEMALE,20.7705,24.5993,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3897,351,1,F,6778,5133,MALE,FEMALE,29.3008,20.6075,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3898,480,1,F,7617,11912,MALE,FEMALE,27.0216,15.4431,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3899,474,0,F,7672,8099,MALE,FEMALE,28.3934,23.5478,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3901,11,0,F,7977,4516,MALE,FEMALE,24.4852,19.2491,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3903,422,0,F,8481,2042,MALE,FEMALE,23.7844,31.3509,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3906,399,0,F,8531,11606,MALE,FEMALE,25.3138,18.8949,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3910,411,1,F,8975,11248,MALE,FEMALE,27.3393,17.5894,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3911,411,1,F,8975,11248,MALE,FEMALE,27.3393,17.5894,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3913,400,0,F,9661,15991,MALE,FEMALE,25.223,20.1293,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3916,214,0,F,9724,11924,MALE,FEMALE,21.7064,24.5939,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3919,534,0,F,9930,12100,MALE,FEMALE,24.1339,22.1304,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3920,339,0,F,10024,8088,MALE,FEMALE,25.2048,20.5168,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3922,146,1,F,10121,4914,MALE,FEMALE,22.0436,15.7344,No,Yes,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3931,21,1,F,11009,13069,MALE,FEMALE,21.3919,14.789,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3932,319,0,F,11223,2610,MALE,FEMALE,29.8259,24.7002,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3933,69,1,F,11361,7934,MALE,FEMALE,27.1354,18.3799,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3936,236,1,F,11705,6461,MALE,FEMALE,22.825,19.8053,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
